2018-2019,2019-2020,2020-2021,2021-2022
History of Technology,History of Technology,History of Technology,History of Technology
The Wired Ensemble,The Wired Ensemble,Identity from the Mind and the Brain,Identity from the Mind and the Brain
The Digital Eye,The Digital Eye,Democracy and Media,Democracy and Media
The Human Connection,The Human Connection,Infrastructure,Infrastructure
Dirt to Shirt,Dirt to Shirt,"Singular Voices, Dual Lives",Wired Ensemble
"What is ""I""?","What is ""I""?",AHS Foundation Topic,
Identity from the Mind and the Brain,Identity from the Mind and the Brain,,
Democracy and Media,Democracy and Media,,
Infrastructure,Infrastructure,,
"Singular Voices, Dual Lives","Singular Voices, Dual Lives",,
AHS Foundation Topic,AHS Foundation Topic,,
